drop_rate,ball_effect_ticks,baseline_damage_mean_no_laser,laser_dps_per_stage,laser_frac_achieved,natural_clear_rate,damage_mean,relay_reached_frac,relay_median_min,relay_p90_min,b3_mean_frac,b1_ref_drops_per_session,b2_ref_recovery_sec,weaken_uptime_ref,meets_natural_zero,meets_reached_full,meets_median_23_24min,meets_b3,meets_laser_8_12pct,all_pass
0.08,2,59958.93,0.5,0.08138249798653842,0.5366666666666666,64754.43666666667,1.0,20.877502222222223,21.24948444444444,0.13396319444444443,11.0340625,54.70248622284954,0.025175694444444445,False,True,False,True,True,False
0.08,3,61653.42,0.75,0.11798962247349774,1.0,69228.6375,1.0,19.73830666666667,20.13353777777778,0.188525,11.3640625,53.98908641975309,0.049544444444444447,False,True,False,True,True,False
0.1,2,60613.74,0.5,0.0847830458902554,0.84,65739.17333333334,1.0,20.621764444444445,21.109991111111114,0.16449618055555557,9.28,44.3337718504702,0.0316,False,True,False,True,True,False
0.1,3,62749.2225,0.5,0.08306624835072655,0.9866666666666667,67849.33166666667,1.0,19.994044444444448,20.412524444444447,0.22909305555555556,9.1703125,44.08262591456219,0.06205243055555556,False,True,False,True,True,False
0.12,2,61356.0775,0.5,0.08554934920668622,0.9533333333333334,66466.665,1.0,20.435773333333334,20.831004444444442,0.19399236111111112,8.209375,36.54536034939947,0.037834375,False,True,False,True,True,False
0.12,3,63680.9375,0.5,0.0856342606451107,1.0,69203.29166666667,1.0,19.761555555555557,20.226533333333336,0.2692114583333333,8.3365625,36.479826541037575,0.0742513888888889,False,True,False,True,True,False
0.15,2,62435.6,0.5,0.0852148854179346,1.0,67736.56333333334,1.0,20.180035555555556,20.552017777777777,0.23620659722222223,6.896875,29.075342957210292,0.047321875,False,True,False,True,True,False
0.15,3,65366.6775,0.5,0.0842438794598364,1.0,70974.04166666667,1.0,19.296577777777777,19.73830666666667,0.32252743055555555,7.02,29.47847449025827,0.09210486111111112,False,True,False,True,True,False
