drop_rate,ball_effect_ticks,b3_mean_frac,b3_pass,b3_margin,weaken_uptime_mean_frac_reference_only,b1_drop_mean_reference_only,b2_recovery_sec_reference_only
0.1,2,0.16449965277777778,True,-0.5887508680555555,0.03166666666666667,9.4384375,43.04948837998304
0.1,3,0.22977465277777778,True,-0.4255633680555556,0.06206388888888889,9.16875,44.03054319831422
0.1,4,0.28565868055555554,True,-0.2858532986111112,0.09092430555555556,9.4815625,42.67983048756685
0.15,2,0.2366201388888889,True,-0.4084496527777778,0.04734548611111111,6.919375,28.707018335983044
0.15,3,0.32241736111111113,True,-0.19395659722222225,0.091796875,7.0284375,28.99422059281187
0.15,4,0.3923357638888889,True,-0.019160590277777723,0.13429236111111112,7.2815625,29.233365664722598
0.2,2,0.3022767361111111,True,-0.2443081597222223,0.06271979166666666,5.8440625,21.956594387405886
0.2,3,0.4024565972222222,False,0.006141493055555447,0.12044652777777778,5.904375,21.727446088570673
0.2,4,0.48146006944444447,False,0.20365017361111115,0.174690625,5.7428125,22.116954937562248
0.25,2,0.36099618055555555,True,-0.09750954861111116,0.07795208333333334,5.069375,17.60763541880342
0.25,3,0.47119756944444446,False,0.177993923611111,0.14858055555555555,5.1390625,17.51693695816342
0.25,4,0.553028125,False,0.38257031249999995,0.2124829861111111,5.179375,17.699651091191043
