requirement,pickup_miss_rate_base,laser_dps_per_stage,laser_frac_achieved,natural_clear_rate,natural_clear_k,natural_clear_n,natural_clear_ci_lo,natural_clear_ci_hi,damage_mean,damage_stdev,relay_reached_frac,relay_median_min,relay_p90_min,b3_mean_frac,b3_pass,b1_ref,b2_ref_sec,weaken_uptime_ref
67300,0.1,0.375,0.05603224559435635,0.0,0,1000,0.0,0.0038267584873443055,60914.13855000038,995.9080774281754,1.0,22.807160000000003,23.24888888888889,0.10080972222222222,True,15.0678125,81.43141212341786,0.016196180555555557
67300,0.2,0.375,0.05854755795221835,0.0,0,1000,0.0,0.0038267584873443055,60799.112737500385,1033.616176914095,1.0,22.807160000000003,23.17914222222222,0.09799930555555555,True,16.885625,84.55339955597844,0.016005208333333333
67300,0.3,0.375,0.05749482232242037,0.0,0,1000,0.0,0.0038267584873443055,60615.46380000034,1053.2616015663273,1.0,22.900155555555557,23.295386666666666,0.08789340277777778,True,19.0040625,92.52035593305021,0.014124652777777778
68700,0.1,0.375,0.0566773090074774,0.0,0,1000,0.0,0.0038267584873443055,60864.31460000038,1000.5789957748757,1.0,23.341884444444442,23.620871111111114,0.10046666666666666,True,14.44625,80.10329037751004,0.01613402777777778
68700,0.2,0.375,0.05927076410611813,0.0,0,1000,0.0,0.0038267584873443055,60808.70386250038,1019.5798802871326,1.0,23.388382222222223,23.760364444444445,0.09885,True,16.6675,85.50021413269384,0.015865972222222222
68700,0.3,0.375,0.05864313793806599,0.0,0,1000,0.0,0.0038267584873443055,60608.48671250034,1033.729252278959,1.0,23.272137777777782,23.760364444444445,0.08813333333333333,True,19.2590625,94.00556677999029,0.014240277777777779
71000,0.1,0.375,0.05952420714082338,0.0,0,1000,0.0,0.0038267584873443055,60875.737600000386,1068.944323936399,1.0,23.992853333333333,24.341586666666664,0.10067986111111112,True,15.4684375,80.66679907912275,0.016420833333333332
71000,0.2,0.375,0.058938053248773076,0.0,0,1000,0.0,0.0038267584873443055,60788.85271250038,1054.4119114699463,1.0,23.92310666666667,24.38808444444444,0.09760347222222222,True,16.51375,82.86278591992257,0.015830902777777777
71000,0.3,0.375,0.05600226337795836,0.0,0,1000,0.0,0.0038267584873443055,60633.84170000034,1043.1228887273244,1.0,24.0626,24.43458222222222,0.087553125,True,18.781875,94.73850803517648,0.014109375
73100,0.1,0.375,0.05910612843472698,0.0,0,1000,0.0,0.0038267584873443055,60900.35043750039,1000.8480915196639,1.0,24.620573333333333,24.99255555555556,0.100709375,True,15.410625,81.2991273406415,0.01631076388888889
73100,0.2,0.375,0.05867312337450129,0.0,0,1000,0.0,0.0038267584873443055,60782.95006250038,1035.727125397615,1.0,24.620573333333333,24.969306666666668,0.09809791666666667,True,16.638125,85.16954951830444,0.015967013888888888
73100,0.3,0.375,0.05841637085209312,0.0,0,1000,0.0,0.0038267584873443055,60602.90340000034,1023.6164343068432,1.0,24.667071111111113,24.99255555555556,0.08803229166666666,True,18.56375,93.27293885057472,0.014154513888888888
