drop_rate,power_bonus_per_stage,catch_cap,b1_mean,b1_pass,b1_margin,b2_mean_sec,b2_pass,b2_margin,b2_sample_n,b3_mean_frac,b3_pass,b3_margin
0.02,0.1,0.995,457.918125,False,112.97953125,175.93405464634432,False,2.4915747905691825,65478,0.11923645833333334,True,-0.7019088541666667
0.02,0.1,0.999,423.505,False,104.37625,179.32842825653694,False,2.582091420174319,58705,0.11829513888888889,True,-0.7042621527777778
0.02,0.2,0.995,126.0190625,False,30.004765625,242.17150151650313,False,4.257906707106751,20178,0.12149756944444444,True,-0.696256076388889
0.02,0.2,0.999,96.8709375,False,22.717734375,259.5838275340049,False,4.722235400906799,11714,0.12198576388888889,True,-0.6950355902777778
0.02,0.3,0.995,34.9521875,False,7.238046875,257.1330742534122,False,4.656881980090993,8963,0.12519479166666667,True,-0.6870130208333334
0.02,0.3,0.999,22.0140625,False,4.003515625,258.40265624878526,False,4.690737499967607,1715,0.12478645833333334,True,-0.6880338541666666
0.02,0.5,0.995,35.923125,False,7.48078125,253.21920214385253,False,4.552512057169402,9329,0.12469965277777778,True,-0.6882508680555556
0.02,0.5,0.999,21.59375,False,3.8984375,254.65049486288143,False,4.590679863010172,1726,0.12429097222222223,True,-0.6892725694444444
0.02,0.8,0.995,35.09375,False,7.2734375,263.3021536247843,False,4.821390763327583,9081,0.12494131944444445,True,-0.687646701388889
0.02,0.8,0.999,21.4096875,False,3.852421875,272.90417442445346,False,5.0774446513187605,1723,0.12582708333333334,True,-0.6854322916666666
0.05,0.1,0.995,122.91375,False,29.2284375,143.57188386575433,False,1.628583569753449,51150,0.2682326388888889,True,-0.3294184027777779
0.05,0.1,0.999,107.5690625,False,25.392265625,148.279449406857,False,1.7541186508495201,40912,0.26959513888888886,True,-0.32601215277777784
0.05,0.2,0.995,27.6596875,False,5.414921875,179.63541279658756,False,2.590277674575669,15004,0.2758329861111111,True,-0.3104175347222222
0.05,0.2,0.999,22.7109375,False,4.177734375,178.29624895516895,False,2.554566638804505,7242,0.27933402777777777,True,-0.30166493055555565
0.05,0.3,0.995,13.1553125,False,1.7888281250000002,185.37957346842282,False,2.7434552924912756,9870,0.2761423611111111,True,-0.3096440972222222
