ball_effect_ticks,b1_mean,b1_pass,b2_mean_sec,b2_pass,b3_mean_frac,b3_pass,b3_margin
2,4.420625,True,118.43342736564458,True,0.19412361111111112,True,-0.5146909722222222
3,4.56375,True,117.27039396855952,True,0.26914305555555557,True,-0.32714236111111117
4,4.4478125,True,114.34157980817768,True,0.3307409722222222,True,-0.17314756944444454
5,4.450625,True,120.94754641621354,False,0.3823402777777778,True,-0.04414930555555552
6,4.5025,True,116.07658746666667,True,0.4272107638888889,False,0.06802690972222214
7,4.6021875,True,118.34018480204342,True,0.46801041666666665,False,0.17002604166666657
