laser_dps_per_stage,weaken_multiplier,natural_trials,natural_clear_rate,natural_damage_mean,relay_reached_frac,relay_median_tick,relay_median_min,relay_p90_tick,relay_p90_min
0.3,2.0,300,0.7866666666666666,65494.66900000308,1.0,886,20.598515555555554,908,21.109991111111114
0.6,2.0,300,0.9966666666666667,68688.68966667034,1.0,854,19.85455111111111,878,20.412524444444447
1.2,2.0,300,1.0,75203.53833333268,1.0,787,18.29687555555556,801,18.622360000000004
